Client Storage Utilization by Storage Policy Copy
 Report generated on Oct 19 2018 13:24 PM

Largest Clients by Data Written Size
"Client","Data Written (TB)"
"le-s9-1-99","159.341"
"le-dfs-48-48","124.900"
"hw-crsdb02","123.257"
"hw-powervault2","42.827"
"hw-crsrpt02","30.354"
"sql_vm","17.255"
"hw-mail02","15.041"
"dsm-wh-vbr02","12.487"
"hw-sql04","11.525"
"HW-MAIL02_1","10.935"
"POWERVAULT2","7.920"
"hw-crstestdb02","7.075"
"hw-costdb","6.950"
"le-exch-1-67","6.688"
"hw-crsdevdb","4.651"
"HW-CRSTESTDB02_1","4.367"
"d888sfs1","4.054"
"ccm-lkl-ex2013","3.447"
"scec-app01","3.412"
"HAR-SAND2_CLONE","3.070"
"dsm-lkl-mail02","2.951"
"scec-vmsql02","2.925"
"HAR-HARWSUS","2.744"
"HAR-HARSQL1","2.702"
"ccm-lkl-fs","2.510"
"HW-CRSTESTRPT02_1","2.463"
"CSS-NAS1_1","2.112"
"harsql2-945","1.903"
"HW-COSTDB_1","1.743"
"HAR-HARDFS1","1.742"
"hw-costtestdb","1.689"
"LE-AUDIT-1-107_v2","1.622"
"hw-sql03","1.515"
"HAR-HARECM1","1.411"
"HW-FS01","1.366"
"HW-CRSDEVDB_1","1.352"
"HW-SQL04_1","1.320"
"HAR-HARSAND1","0.931"
"46-pc","0.916"
"d888sca1","0.906"
"oaisys-sql","0.905"
"hw-crstestrpt02","0.882"
"RHC-AD-01_1","0.848"
"SQL_VM_1","0.835"
"RHC-FS-01","0.826"
"CSS-WEB2","0.814"
"HW-GUAT-SH02_keep_offline_","0.768"
"CSS-WEB1","0.768"
"hw-geronimo","0.764"
"HW-BES_1","0.752"
"hw-sql02","0.749"
"HW-DIALERDB","0.734"
"le-s9sql-1-109","0.718"
"HW-COSTTESTDB_1","0.717"
"scec-vmdc02","0.675"
"HW-GUAT-SH01_keep_offline_","0.666"
"CSS-QBE1","0.634"
"HAR-HARSP1","0.626"
"GERONIMO","0.614"
"HW-CRM_1","0.604"
"hw-crsdevrpt","0.600"
